Protein.Group,Protein.Names,Genes,First.Protein.Description,Bt1_DIA,Bt2_DIA,Bt3_DIA,STS1_DIA,STS2_DIA,STS3_DIA,Average Bt,Average ST,Fold Change,log2 Fold Change ST
A6NHR9,SMHD1_HUMAN,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,312066,232397,312086,294158,249026,244305,285516.333333333,262496.333333333,0.919374139716467,-0.121276008488479
A6NIH7,U119B_HUMAN,UNC119B,Protein unc-119 homolog B,1310000,1200000,1530000,1320000,1230000,1580000,1346666.66666667,1376666.66666667,1.02227722772277,0.0317864886676507
A6ZKI3,RTL8C_HUMAN,RTL8C,Retrotransposon Gag-like protein 8C,583109,671929,415058,610917,442849,652397,556698.666666667,568721,1.02159576455485,0.0308244488803909
A8MWD9;P62308,RUXGL_HUMAN;RUXG_HUMAN,SNRPG;SNRPGP15,Putative small nuclear ribonucleoprotein G-like protein 15,6700000,5540000,6200000,6080000,6890000,6150000,6146666.66666667,6373333.33333333,1.03687635574837,0.0522438675514103
A8MXV4,NUD19_HUMAN,NUDT19,Acyl-coenzyme A diphosphatase NUDT19,2240000,2720000,1920000,2260000,2020000,2720000,2293333.33333333,2333333.33333333,1.01744186046512,0.0249463571302309
C9JLW8,MCRI1_HUMAN,MCRIP1,Mapk-regulated corepressor-interacting protein 1,1180000,567710,905255,1050000,880436,901983,884321.666666667,944139.666666667,1.06764280719874,0.094429056691456
E9PAV3;Q13765,NACAM_HUMAN;NACA_HUMAN,NACA,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",20300000,18000000,23600000,24200000,19800000,28100000,20633333.3333333,24033333.3333333,1.16478190630048,0.220059850026558
E9PRG8,CK098_HUMAN,C11orf98,Uncharacterized protein C11orf98,1760000,1170000,1540000,1470000,1470000,1470000,1490000,1470000,0.986577181208054,-0.0194961756257972
L0R6Q1,S35U4_HUMAN,SLC35A4,SLC35A4 upstream open reading frame protein,474867,953437,538293,566729,624620,583346,655532.333333333,591565,0.902419255190565,-0.148130243605034
L0R819,ASURF_HUMAN,ASDURF,ASNSD1 upstream open reading frame protein,417137,405606,476952,270651,521912,321414,433231.666666667,371325.666666667,0.857106474980668,-0.222453659061895
O00116,ADAS_HUMAN,AGPS,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",1280000,1030000,1190000,1260000,1100000,1170000,1166666.66666667,1176666.66666667,1.00857142857143,0.0123132614388516
O00139,KIF2A_HUMAN,KIF2A,Kinesin-like protein KIF2A,142032,183799,222699,162166,183572,173414,182843.333333333,173050.666666667,0.946442309445244,-0.0794135260041782
O00148,DX39A_HUMAN,DDX39A,ATP-dependent RNA helicase DDX39A,2330000,1880000,2070000,1990000,1930000,1800000,2093333.33333333,1906666.66666667,0.910828025477707,-0.134749412113238
O00151,PDLI1_HUMAN,PDLIM1,PDZ and LIM domain protein 1,3660000,4010000,4100000,4340000,4370000,4280000,3923333.33333333,4330000,1.1036533559898,0.142287110409437
O00154,BACH_HUMAN,ACOT7,Cytosolic acyl coenzyme A thioester hydrolase,5310000,5210000,5070000,5980000,5220000,5640000,5196666.66666667,5613333.33333333,1.08017960230917,0.111271210368611
O00159,MYO1C_HUMAN,MYO1C,Unconventional myosin-Ic,291908,384841,342132,388700,575811,422059,339627,462190,1.36087531321126,0.444534889580859
O00161,SNP23_HUMAN,SNAP23,Synaptosomal-associated protein 23,616124,695721,567765,811595,712994,726317,626536.666666667,750302,1.19753885114465,0.260072461343089
O00165,HAX1_HUMAN,HAX1,HCLS1-associated protein X-1,167971,283184,290362,221849,371300,414984,247172.333333333,336044.333333333,1.35955480454258,0.443134308514692
O00170,AIP_HUMAN,AIP,AH receptor-interacting protein,1730000,1460000,1600000,1420000,1480000,1350000,1596666.66666667,1416666.66666667,0.887265135699374,-0.172562814711116
O00178,GTPB1_HUMAN,GTPBP1,GTP-binding protein 1,726374,892090,942346,736200,767510,695258,853603.333333333,732989.333333333,0.858700176897154,-0.219773605909915
O00186,STXB3_HUMAN,STXBP3,Syntaxin-binding protein 3,258640,405775,436512,303927,209523,234337,366975.666666667,249262.333333333,0.679233954658211,-0.558019514393652
O00193,SMAP_HUMAN,SMAP,Small acidic protein,2220000,1800000,1870000,2330000,2200000,2240000,1963333.33333333,2256666.66666667,1.14940577249575,0.200888199744536
O00203,AP3B1_HUMAN,AP3B1,AP-3 complex subunit beta-1,1660000,1470000,1410000,1450000,1320000,1340000,1513333.33333333,1370000,0.905286343612335,-0.143553903609232
O00217,NDUS8_HUMAN,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",610761,649660,586440,575577,620711,454362,615620.333333333,550216.666666667,0.893759736114412,-0.162041042117394
O00231,PSD11_HUMAN,PSMD11,26S proteasome non-ATPase regulatory subunit 11,5230000,6090000,5520000,6630000,8770000,6580000,5613333.33333333,7326666.66666667,1.30522565320665,0.384299247882835
O00232,PSD12_HUMAN,PSMD12,26S proteasome non-ATPase regulatory subunit 12,3740000,3170000,3280000,3870000,3420000,3310000,3396666.66666667,3533333.33333333,1.04023552502453,0.0569102132847477
O00233,PSMD9_HUMAN,PSMD9,26S proteasome non-ATPase regulatory subunit 9,3110000,2570000,3760000,3490000,3330000,3100000,3146666.66666667,3306666.66666667,1.05084745762712,0.0715532610250341
O00244,ATOX1_HUMAN,ATOX1,Copper transport protein ATOX1,1070000,1060000,1530000,1260000,1480000,904222,1220000,1214740.66666667,0.995689071038251,-0.00623280008739291
O00264,PGRC1_HUMAN,PGRMC1,Membrane-associated progesterone receptor component 1,11400000,10100000,9910000,11300000,9910000,9420000,10470000,10210000,0.975167144221585,-0.036278576053007
O00267,SPT5H_HUMAN,SUPT5H,Transcription elongation factor SPT5,1950000,1830000,2080000,1540000,1980000,1550000,1953333.33333333,1690000,0.86518771331058,-0.208914917418907
O00273,DFFA_HUMAN,DFFA,DNA fragmentation factor subunit alpha,1170000,1320000,1050000,1200000,1440000,1410000,1180000,1350000,1.14406779661017,0.19417254768899
O00299,CLIC1_HUMAN,CLIC1,Chloride intracellular channel protein 1,7780000,7820000,6720000,8200000,7520000,9360000,7440000,8360000,1.12365591397849,0.168200320972851
O00303,EIF3F_HUMAN,EIF3F,Eukaryotic translation initiation factor 3 subunit F,4410000,5250000,5360000,4300000,5170000,4990000,5006666.66666667,4820000,0.96271637816245,-0.054817260563154
O00330,ODPX_HUMAN,PDHX,"Pyruvate dehydrogenase protein X component, mitochondrial",496702,431490,2680000,681276,515573,1310000,1202730.66666667,835616.333333333,0.69476596589095,-0.525401011597498
O00399,DCTN6_HUMAN,DCTN6,Dynactin subunit 6,1950000,1950000,2200000,1840000,1180000,3090000,2033333.33333333,2036666.66666667,1.0016393442623,0.00236313736848088
O00401,WASL_HUMAN,WASL,Actin nucleation-promoting factor WASL,132217,119382,151336,157853,174634,169687,134311.666666667,167391.333333333,1.24629034459652,0.317640207939197
O00410,IPO5_HUMAN,IPO5,Importin-5,6070000,5540000,5220000,6370000,5680000,5670000,5610000,5906666.66666667,1.05288175876411,0.0743434272250693
O00411,RPOM_HUMAN,POLRMT,"DNA-directed RNA polymerase, mitochondrial",262462,241154,231225,199471,238380,226235,244947,221362,0.903713864631941,-0.146062038420898
O00422,SAP18_HUMAN,SAP18,Histone deacetylase complex subunit SAP18,920886,871591,908888,944529,778066,682947,900455,801847.333333333,0.890491288663324,-0.16732659682683
O00425,IF2B3_HUMAN,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3,1860000,1730000,1880000,1530000,1720000,1510000,1823333.33333333,1586666.66666667,0.870201096892139,-0.200579259484613
O00429,DNM1L_HUMAN,DNM1L,Dynamin-1-like protein,1940000,2060000,1940000,1960000,2030000,2290000,1980000,2093333.33333333,1.05723905723906,0.080301628090861
O00442,RTCA_HUMAN,RTCA,RNA 3'-terminal phosphate cyclase,717304,776468,578894,748786,646824,704698,690888.666666667,700102.666666667,1.01333644687567,0.019113255729135
O00461,GOLI4_HUMAN,GOLIM4,Golgi integral membrane protein 4,220610,301709,243692,411894,296841,300988,255337,336574.333333333,1.31815731105689,0.398522554214485
O00469,PLOD2_HUMAN,PLOD2,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2",433900,421615,482030,556521,447284,572756,445848.333333333,525520.333333333,1.17869753914822,0.237193561615146
O00471,EXOC5_HUMAN,EXOC5,Exocyst complex component 5,189915,283537,229849,188341,297413,305867,234433.666666667,263873.666666667,1.12557923278937,0.170667615858217
O00483,NDUA4_HUMAN,NDUFA4,Cytochrome c oxidase subunit NDUFA4,984406,970101,997899,1360000,921984,963020,984135.333333333,1081668,1.09910493340008,0.136329129389155
O00487,PSDE_HUMAN,PSMD14,26S proteasome non-ATPase regulatory subunit 14,6390000,6020000,6280000,5390000,5910000,4810000,6230000,5370000,0.861958266452649,-0.214310075038589
O00488,ZN593_HUMAN,ZNF593,Zinc finger protein 593,711849,464760,603830,632420,613193,579970,593479.666666667,608527.666666667,1.02535554433485,0.0361242542248909
O00505,IMA4_HUMAN,KPNA3,Importin subunit alpha-4,486671,586889,596707,594030,678764,487762,556755.666666667,586852,1.05405662687462,0.0759523746759941
O00541,PESC_HUMAN,PES1,Pescadillo homolog,1390000,1260000,1190000,1300000,1270000,1060000,1280000,1210000,0.9453125,-0.0811367627254055
O00560,SDCB1_HUMAN,SDCBP,Syntenin-1,741714,776524,695426,622759,764886,727826,737888,705157,0.955642319701635,-0.0654573513151845
O00567,NOP56_HUMAN,NOP56,Nucleolar protein 56,1180000,1300000,1120000,822964,735918,298060,1200000,618980.666666667,0.515817222222222,-0.955068151927355
O00571,DDX3X_HUMAN,DDX3X,ATP-dependent RNA helicase DDX3X,5520000,6190000,6140000,6040000,5780000,5800000,5950000,5873333.33333333,0.987114845938375,-0.0187101499960485
O00592,PODXL_HUMAN,PODXL,Podocalyxin,504567,617526,491275,538494,694934,703172,537789.333333333,645533.333333333,1.20034610826544,0.26345045306957
O00625,PIR_HUMAN,PIR,Pirin,271813,271813,325683,240138,302509,134269,289769.666666667,225638.666666667,0.778682838898481,-0.36089226328873
O00629,IMA3_HUMAN,KPNA4,Importin subunit alpha-3,953590,1810000,1110000,1080000,1550000,1510000,1291196.66666667,1380000,1.06877599332919,0.0959595077094978
O00743,PPP6_HUMAN,PPP6C,Serine/threonine-protein phosphatase 6 catalytic subunit,1030000,1450000,1300000,1160000,1030000,1610000,1260000,1266666.66666667,1.005291005291,0.00761318410987527
O00746,NDKM_HUMAN,NME4,"Nucleoside diphosphate kinase, mitochondrial",1320000,948490,1360000,1230000,1420000,1170000,1209496.66666667,1273333.33333333,1.05277953087924,0.0742033442369914
O00754,MA2B1_HUMAN,MAN2B1,Lysosomal alpha-mannosidase,774912,653206,635440,850505,616518,845196,687852.666666667,770739.666666667,1.12050109568037,0.164144059586252
O00762,UBE2C_HUMAN,UBE2C,Ubiquitin-conjugating enzyme E2 C,888834,829571,735847,835901,1020000,889148,818084,915016.333333333,1.11848701763307,0.161548511019218
O00764,PDXK_HUMAN,PDXK,Pyridoxal kinase,756968,840306,949275,711691,976537,799007,848849.666666667,829078.333333333,0.976708086119686,-0.0340006541223551
O00767,SCD_HUMAN,SCD,Stearoyl-CoA desaturase,1410000,1590000,1620000,1670000,1800000,1450000,1540000,1640000,1.06493506493507,0.0907654639231822
O14530,TXND9_HUMAN,TXNDC9,Thioredoxin domain-containing protein 9,1050000,748915,1420000,1040000,928924,1060000,1072971.66666667,1009641.33333333,0.940976695563567,-0.0877691015947658
O14545,TRAD1_HUMAN,TRAFD1,TRAF-type zinc finger domain-containing protein 1,246625,191648,321376,257244,301934,268844,253216.333333333,276007.333333333,1.09000604226426,0.124336132360474
O14562,UBFD1_HUMAN,UBFD1,Ubiquitin domain-containing protein UBFD1,899820,1060000,929558,814249,994395,820462,963126,876368.666666667,0.909921097205004,-0.13618664584674
O14579,COPE_HUMAN,COPE,Coatomer subunit epsilon,2500000,2390000,2190000,2470000,2320000,2290000,2360000,2360000,1,0
O14617,AP3D1_HUMAN,AP3D1,AP-3 complex subunit delta-1,1200000,1120000,1260000,1220000,1260000,1110000,1193333.33333333,1196666.66666667,1.00279329608939,0.00402425655879496
O14618,CCS_HUMAN,CCS,Copper chaperone for superoxide dismutase,247102,336702,206706,407469,317504,446686,263503.333333333,390553,1.48215582345574,0.567697130443473
O14641,DVL2_HUMAN,DVL2,Segment polarity protein dishevelled homolog DVL-2,286678,244964,237588,236042,261890,241050,256410,246327.333333333,0.960677560677561,-0.0578758050630634
O14646,CHD1_HUMAN,CHD1,Chromodomain-helicase-DNA-binding protein 1,358289,365642,381742,355189,398280,317542,368557.666666667,357003.666666667,0.968650767451136,-0.0459514776275316
O14653,GOSR2_HUMAN,GOSR2,Golgi SNAP receptor complex member 2,58155.9,58155.9,77010,107143,50781.6,58864.4,64440.6,72263,1.12138931046576,0.165287222632634
O14654,IRS4_HUMAN,IRS4,Insulin receptor substrate 4,3900000,3980000,3060000,2890000,2770000,2600000,3646666.66666667,2753333.33333333,0.755027422303474,-0.405399051373111
O14656,TOR1A_HUMAN,TOR1A,Torsin-1A,126124,230412,160763,174202,158953,190650,172433,174601.666666667,1.01257686560384,0.0180314284084717
O14662,STX16_HUMAN,STX16,Syntaxin-16,190128,190128,190128,124315,124315,124315,190128,124315,0.65384898594631,-0.612970627946751
O14672,ADA10_HUMAN,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,403394,394584,299538,328967,336764,284663,365838.666666667,316798,0.865950018040739,-0.207644338764172
O14735,CDIPT_HUMAN,CDIPT,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1380000,1200000,1310000,1080000,1160000,1040000,1296666.66666667,1093333.33333333,0.84318766066838,-0.246074340368108
O14737,PDCD5_HUMAN,PDCD5,Programmed cell death protein 5,14300000,13400000,10400000,11800000,12600000,13300000,12700000,12566666.6666667,0.989501312335958,-0.0152264742246578
O14744,ANM5_HUMAN,PRMT5,Protein arginine N-methyltransferase 5,5390000,5170000,5100000,5200000,5810000,5910000,5220000,5640000,1.08045977011494,0.111645355828909
O14745,NHRF1_HUMAN,NHERF1,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,2740000,2580000,2450000,2770000,3680000,3240000,2590000,3230000,1.24710424710425,0.318582067007371
O14772,FPGT_HUMAN,FPGT,Fucose-1-phosphate guanylyltransferase,162307,164009,144041,225712,123609,175030,156785.666666667,174783.666666667,1.11479365673308,0.156776698525145
O14773,TPP1_HUMAN,TPP1,Tripeptidyl-peptidase 1,141083,87905.5,111945,125641,102650,121908,113644.5,116733,1.02717685413724,0.0386845990081765
O14776,TCRG1_HUMAN,TCERG1,Transcription elongation regulator 1,1850000,1770000,1890000,1710000,1690000,1700000,1836666.66666667,1700000,0.925589836660617,-0.1115550717123
O14787,TNPO2_HUMAN,TNPO2,Transportin-2,456362,343627,323174,362131,446589,300073,374387.666666667,369597.666666667,0.987205775119017,-0.0185772606601658
O14802,RPC1_HUMAN,POLR3A,DNA-directed RNA polymerase III subunit RPC1,135054,135054,135054,181421,156690,156690,135054,164933.666666667,1.22124236725063,0.288349545396056
O14818,PSA7_HUMAN,PSMA7,Proteasome subunit alpha type-7,6950000,7290000,6870000,7150000,6690000,7080000,7036666.66666667,6973333.33333333,0.990999526290857,-0.0130437271002147
O14828,SCAM3_HUMAN,SCAMP3,Secretory carrier-associated membrane protein 3,2450000,2540000,2140000,2300000,2070000,1970000,2376666.66666667,2113333.33333333,0.889200561009818,-0.169419236304481
O14880,MGST3_HUMAN,MGST3,"Glutathione S-transferase 3, mitochondrial",198345,195875,284320,206896,176383,148830,226180,177369.666666667,0.784196952279895,-0.350712059943375
O14893,GEMI2_HUMAN,GEMIN2,Gem-associated protein 2,284679,259072,244777,1,1,1,262842.666666667,1,0.0000038045573524339,-18.0038399585906
O14907,TX1B3_HUMAN,TAX1BP3,Tax1-binding protein 3,323369,471985,278814,420988,373047,427074,358056,407036.333333333,1.1367951754288,0.184972336892734
O14908,GIPC1_HUMAN,GIPC1,PDZ domain-containing protein GIPC1,624864,605287,682394,658368,783706,565956,637515,669343.333333333,1.04992562266509,0.0702871301648507
O14929,HAT1_HUMAN,HAT1,Histone acetyltransferase type B catalytic subunit,4870000,4220000,3950000,4650000,4400000,4430000,4346666.66666667,4493333.33333333,1.03374233128834,0.0478766269507806
O14936,CSKP_HUMAN,CASK,Peripheral plasma membrane protein CASK,427981,383416,421090,442191,446984,411161,410829,433445.333333333,1.05505047923426,0.0773120267985429
O14950;P19105,ML12A_HUMAN;ML12B_HUMAN,MYL12A;MYL12B,Myosin regulatory light chain 12B,9290000,10000000,9690000,9290000,9660000,8780000,9660000,9243333.33333333,0.956866804692892,-0.0636099785174506
O14964,HGS_HUMAN,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,1090000,1070000,1190000,1130000,909760,1210000,1116666.66666667,1083253.33333333,0.970077611940298,-0.0438279188431459
O14972,VP26C_HUMAN,VPS26C,Vacuolar protein sorting-associated protein 26C,118088,95992.9,96791.7,119642,187074,119642,103624.2,142119.333333333,1.37148786995058,0.455741862405274
O14974,MYPT1_HUMAN,PPP1R12A,Protein phosphatase 1 regulatory subunit 12A,1120000,1210000,1450000,1270000,1160000,1170000,1260000,1200000,0.952380952380952,-0.070389327891398
O14975,S27A2_HUMAN,SLC27A2,Long-chain fatty acid transport protein 2,179807,174426,156470,171136,222994,150611,170234.333333333,181580.333333333,1.06664930497765,0.0930859220541423
O14979,HNRDL_HUMAN,HNRNPDL,Heterogeneous nuclear ribonucleoprotein D-like,8540000,7470000,6690000,8870000,8090000,7230000,7566666.66666667,8063333.33333333,1.06563876651982,0.0917184718016475
O14980,XPO1_HUMAN,XPO1,Exportin-1,5070000,5100000,5010000,5440000,5260000,5000000,5060000,5233333.33333333,1.03425559947299,0.048592768363523
O14981,BTAF1_HUMAN,BTAF1,TATA-binding protein-associated factor 172,471746,351636,410642,451333,613162,513792,411341.333333333,526095.666666667,1.27897593563821,0.354989119683167
O15020,SPTN2_HUMAN,SPTBN2,"Spectrin beta chain, non-erythrocytic 2",89288,89288,101741,75367,75367,75367,93439,75367,0.806590395873244,-0.310091867309373
O15027,SC16A_HUMAN,SEC16A,Protein transport protein Sec16A,382840,445805,217298,469237,471167,335202,348647.666666667,425202,1.21957506288584,0.286378556428854
O15031,PLXB2_HUMAN,PLXNB2,Plexin-B2,332107,262816,281254,278529,300274,226864,292059,268555.666666667,0.919525392700333,-0.121038679666117
O15042,SR140_HUMAN,U2SURP,U2 snRNP-associated SURP motif-containing protein,994864,985685,888508,748372,875260,899741,956352.333333333,841124.333333333,0.879513024662807,-0.185223152235827
O15067,PUR4_HUMAN,PFAS,Phosphoribosylformylglycinamidine synthase,3720000,4080000,3150000,3990000,3420000,3910000,3650000,3773333.33333333,1.0337899543379,0.0479430883433467
O15084,ANR28_HUMAN,ANKRD28,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,398079,544612,527212,580665,512640,696082,489967.666666667,596462.333333333,1.2173503965908,0.283744486592542
O15091,MRPP3_HUMAN,PRORP,Mitochondrial ribonuclease P catalytic subunit,69040.3,69233.6,69040.3,1,1,1,69104.7333333333,1,0.0000144707887834022,-16.0764969110407
O15111,IKKA_HUMAN,CHUK,Inhibitor of nuclear factor kappa-B kinase subunit alpha,94990.8,61554.8,112959,69516.7,90664.3,98895.7,89834.8666666667,86358.9,0.961307153940972,-0.0569306246935416
O15118,NPC1_HUMAN,NPC1,NPC intracellular cholesterol transporter 1,440133,498585,445683,381656,454284,372939,461467,402959.666666667,0.873214480486507,-0.195592040196708
O15121,DEGS1_HUMAN,DEGS1,Sphingolipid delta(4)-desaturase DES1,320630,274501,278402,436838,445936,277010,291177.666666667,386594.666666667,1.32769340139411,0.408922029699273
O15126,SCAM1_HUMAN,SCAMP1,Secretory carrier-associated membrane protein 1,1260000,1160000,1190000,1130000,1330000,1390000,1203333.33333333,1283333.33333333,1.06648199445983,0.0928596086950928
O15127,SCAM2_HUMAN,SCAMP2,Secretory carrier-associated membrane protein 2,1400000,1700000,1750000,1660000,1440000,1050000,1616666.66666667,1383333.33333333,0.855670103092783,-0.224873410840203
O15143,ARC1B_HUMAN,ARPC1B,Actin-related protein 2/3 complex subunit 1B,909185,911479,845502,774732,1060000,913749,888722,916160.333333333,1.03087392157878,0.0438678983359221
O15144,ARPC2_HUMAN,ARPC2,Actin-related protein 2/3 complex subunit 2,3750000,2630000,3090000,3490000,2610000,2890000,3156666.66666667,2996666.66666667,0.949313621964097,-0.0750433099539376
O15145,ARPC3_HUMAN,ARPC3,Actin-related protein 2/3 complex subunit 3,3010000,2840000,3190000,2300000,3070000,3140000,3013333.33333333,2836666.66666667,0.941371681415929,-0.0871636407292252
O15160,RPAC1_HUMAN,POLR1C,DNA-directed RNA polymerases I and III subunit RPAC1,1290000,1140000,1250000,1140000,1280000,1290000,1226666.66666667,1236666.66666667,1.00815217391304,0.0117134205637904
O15173,PGRC2_HUMAN,PGRMC2,Membrane-associated progesterone receptor component 2,1170000,1270000,1310000,1390000,1420000,1370000,1250000,1393333.33333333,1.11466666666667,0.15661234669764
O15212,PFD6_HUMAN,PFDN6,Prefoldin subunit 6,1160000,1160000,1160000,2430000,1910000,1910000,1160000,2083333.33333333,1.79597701149425,0.844768883700721
O15226,NKRF_HUMAN,NKRF,NF-kappa-B-repressing factor,458918,495348,535149,459368,455484,492100,496471.666666667,468984,0.944633967027323,-0.0821726822224912
O15228,GNPAT_HUMAN,GNPAT,Dihydroxyacetone phosphate acyltransferase,191398,175629,203502,209315,128930,165002,190176.333333333,167749,0.882070850035669,-0.181033553741845
O15235,RT12_HUMAN,MRPS12,Small ribosomal subunit protein uS12m,1430000,1730000,1650000,1270000,1260000,1380000,1603333.33333333,1303333.33333333,0.812889812889813,-0.29886828646269
O15243,OBRG_HUMAN,LEPROT,Leptin receptor gene-related protein,16503,16503,16503,54085.3,32574.3,32574.3,16503,39744.6333333333,2.4083277787877,1.26803175947706
O15258,RER1_HUMAN,RER1,Protein RER1,1010000,1130000,1330000,1020000,1190000,1160000,1156666.66666667,1123333.33333333,0.971181556195965,-0.0421870713964027
O15260,SURF4_HUMAN,SURF4,Surfeit locus protein 4,2650000,2230000,2280000,2200000,2830000,2120000,2386666.66666667,2383333.33333333,0.998603351955307,-0.00201634559850452
O15269,SPTC1_HUMAN,SPTLC1,Serine palmitoyltransferase 1,1040000,709052,790096,891460,966039,736703,846382.666666667,864734,1.02168207603495,0.0309463325928403
O15270,SPTC2_HUMAN,SPTLC2,Serine palmitoyltransferase 2,344869,316550,301003,266129,382307,328547,320807.333333333,325661,1.01512953777033,0.0216638373360942
O15294,OGT1_HUMAN,OGT,UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit,1140000,662350,757650,1230000,1070000,1350000,853333.333333333,1216666.66666667,1.42578125,0.51175265376738
O15305,PMM2_HUMAN,PMM2,Phosphomannomutase 2,3380000,3750000,3100000,2880000,3260000,3980000,3410000,3373333.33333333,0.989247311827957,-0.0155968550510185
O15347,HMGB3_HUMAN,HMGB3,High mobility group protein B3,527576,471450,592116,649050,514797,605408,530380.666666667,589751.666666667,1.1119403547892,0.15307940302754
O15355,PPM1G_HUMAN,PPM1G,Protein phosphatase 1G,11700000,11800000,11900000,11700000,12700000,13300000,11800000,12566666.6666667,1.06497175141243,0.0908151631856667
O15371,EIF3D_HUMAN,EIF3D,Eukaryotic translation initiation factor 3 subunit D,4820000,5330000,5170000,5010000,5350000,5410000,5106666.66666667,5256666.66666667,1.02937336814621,0.0417663628655531
O15372,EIF3H_HUMAN,EIF3H,Eukaryotic translation initiation factor 3 subunit H,3700000,4210000,4170000,3650000,3620000,3860000,4026666.66666667,3710000,0.92135761589404,-0.118166861983119
O15381,NVL_HUMAN,NVL,Nuclear valosin-containing protein-like,179651,230896,219662,156757,216281,142711,210069.666666667,171916.333333333,0.818377712790519,-0.289161238763574
O15382,BCAT2_HUMAN,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",827786,627388,716592,966590,923598,849022,723922,913070,1.2612822928437,0.334891207392329
O15397,IPO8_HUMAN,IPO8,Importin-8,776487,818241,800481,857496,827324,825250,798403,836690,1.04795447912896,0.0675760506909887
O15400,STX7_HUMAN,STX7,Syntaxin-7,2030000,1910000,1820000,2010000,1990000,2370000,1920000,2123333.33333333,1.10590277777778,0.145224560813988
